Line,DataOwnerCode,DestinationCode,DestinationName50,LineDirection,LineName,LinePlanningNumber,LinePublicNumber,LineWheelchairAccessible,TransportType
ARR_22860_1,ARR,9401,Den Bosch,1,'s-Hertogenbosch - De Efteling,22860,800,UNKNOWN,BUS
ARR_28243_1,ARR,2573,Grou-Jirnsum Station,1,"Grou, Parkstraat  - Grou, Station",28243,8301,NOTACCESSIBLE,BUS
KEOLIS_5080_2,KEOLIS,5247,Amersfoort via Leusden,2,Amersfoort - Veenendaal-De Klomp,5080,80,ACCESSIBLE,BUS
ARR_28047_2,ARR,2509,Burdaard Jislumerdyk,2,"Burdaard - Dokkum, Busstation",28047,7151,NOTACCESSIBLE,BUS
CXX_H002_1,CXX,H002433451,Overdie via Station,1,Alkmaar Daalmeer - Station - Overdie,H002,2,ACCESSIBLE,BUS
ARR_28047_1,ARR,1706,Dokkum Busstation,1,"Burdaard - Dokkum, Busstation",28047,7151,NOTACCESSIBLE,BUS
CXX_H002_2,CXX,H00200575,Daalmeer Rietschoot,2,Alkmaar Daalmeer - Station - Overdie,H002,2,ACCESSIBLE,BUS
ARR_25066_1,ARR,5699,Venlo,1,Venlo via Reuver - Roermond,25066,66,UNKNOWN,BUS
ARR_22807_1,ARR,9335,De Blaak,1,De Blaak via CS - West-Paletplein,22807,7,UNKNOWN,BUS
ARR_25066_2,ARR,5648,Roermond,2,Venlo via Reuver - Roermond,25066,66,UNKNOWN,BUS
ARR_22807_2,ARR,9200,Centraal Station,2,De Blaak via CS - West-Paletplein,22807,7,UNKNOWN,BUS
ARR_23671_2,ARR,6020,Curio prinsentuin,2,Oosterhout - Andel Prinsentuin,23671,671,UNKNOWN,BUS
ARR_23008_2,ARR,9768,St.Ignatiusstraat,2,Centraal Station - BUas/Ignatiusstraat,23008,8,UNKNOWN,BUS
GVB_65_2,GVB,KMD,KNSM Eiland,2,KNSM Eiland - Station Zuid,65,65,ACCESSIBLE,BUS
GVB_65_1,GVB,SZD,Station Zuid,1,KNSM Eiland - Station Zuid,65,65,ACCESSIBLE,BUS
ARR_17020_1,ARR,2050,Leiden Centraal,1,Leiden Centraal via Pickeplein - Noordwijk,17020,20,UNKNOWN,BUS
ARR_17020_2,ARR,1958,Noordwijk,2,Leiden Centraal via Pickeplein - Noordwijk,17020,20,UNKNOWN,BUS
ARR_23671_1,ARR,9540,Oosterhout,1,Oosterhout - Andel Prinsentuin,23671,671,UNKNOWN,BUS
ARR_23008_1,ARR,9200,Centraal Station,1,Centraal Station - BUas/Ignatiusstraat,23008,8,UNKNOWN,BUS
ARR_28021_1,ARR,2673,Oentsjerk Heemstrastate,1,Sibrandahus - Oentsjerk,28021,7083,NOTACCESSIBLE,BUS
ARR_28274_1,ARR,4589,Lemmer Busstation,1,"Echtenerbrug - Lemmer, Busstation",28274,8502,NOTACCESSIBLE,BUS
KEOLIS_6702_2,KEOLIS,6015,Station Centrum,2,Lijn M2 CS - Stripheldenbuurt,6702,M2,ACCESSIBLE,BUS
ARR_28274_2,ARR,2765,Echtenerbrug Bouwver.,2,"Echtenerbrug - Lemmer, Busstation",28274,8502,NOTACCESSIBLE,BUS
KEOLIS_5450_1,KEOLIS,5104,Amerongen,1,Utrecht - Amerongen (nachtlijn),5450,N50,ACCESSIBLE,BUS
ARR_28021_2,ARR,2701,Sibrandahus,2,Sibrandahus - Oentsjerk,28021,7083,NOTACCESSIBLE,BUS
KEOLIS_5450_2,KEOLIS,5187,Utrecht CS,2,Utrecht - Amerongen (nachtlijn),5450,N50,ACCESSIBLE,BUS
QBUZZ_g014_1,QBUZZ,578,Winschoten,1,Stadskanaal - Winschoten,g014,14,ACCESSIBLE,BUS
KEOLIS_6702_1,KEOLIS,6026,Striphelden,1,Lijn M2 CS - Stripheldenbuurt,6702,M2,ACCESSIBLE,BUS
QBUZZ_g014_2,QBUZZ,506,Stadskanaal,2,Stadskanaal - Winschoten,g014,14,ACCESSIBLE,BUS
ARR_23618_2,ARR,9504,Langeweg,2,Moerdijk - Drie hoefijzers,23618,618,UNKNOWN,BUS
ARR_23618_1,ARR,9704,Zevenbergen,1,Moerdijk - Drie hoefijzers,23618,618,UNKNOWN,BUS
CXX_H660_2,CXX,H66000570,Station,2,Alkmaar Station - Alkmaar Hogeschool,H660,660,ACCESSIBLE,BUS
CXX_H660_1,CXX,H66000559,Hogeschool Inholland,1,Alkmaar Station - Alkmaar Hogeschool,H660,660,ACCESSIBLE,BUS
RET_883_1,RET,BIJSSELZ,IJsselland Ziekenhuis,1,Capelle Centrum - Schollevaar,883,605,UNKNOWN,BUS
CXX_X099_2,CXX,X09901096,Nijmegen CS,2,Nijmegen CS - Grave - Uden Busstation,X099,99,ACCESSIBLE,BUS
CXX_X099_1,CXX,X09916185,Uden Busstation,1,Nijmegen CS - Grave - Uden Busstation,X099,99,ACCESSIBLE,BUS
AVV_100911_2,AVV,1443,Siegel,2,,100911,11V,UNKNOWN,BUS
ARR_28078_1,ARR,1706,Dokkum Busstation,1,"Wierum - Dokkum, Busstation",28078,7251,NOTACCESSIBLE,BUS
CXX_H936_1,CXX,H93607293,Overal Flex Reserveer via app of 088-6000981,1,Overal Flex Hoorn,H936,FLX,NOTACCESSIBLE,BUS
ARR_28496_1,ARR,2869,Marsum,1,"Bitgummole - Marsum, Buorren",28496,9751,NOTACCESSIBLE,BUS
AVV_100256_2,AVV,1834,St. Jöris Bahnhof,2,EW6ALT,100256,EW6A,UNKNOWN,BUS
AVV_100256_1,AVV,1833,Hehlrath,1,EW6ALT,100256,EW6A,UNKNOWN,BUS
CXX_X042_2,CXX,X04206236,Druten Busstation,2,Druten Busstation - Tiel Station,X042,42,ACCESSIBLE,BUS
CXX_X042_1,CXX,X04209044,Tiel Station,1,Druten Busstation - Tiel Station,X042,42,ACCESSIBLE,BUS
EBS_2105_2,EBS,2030,Rozenburg,2,Hellevoetsluis - Rozenburg - Spijkenisse,2105,105,ACCESSIBLE,BUS
ARR_26652_1,ARR,5460,Voerendaal Station,1,Voerendaal - Heerlen Zuyd Hogeschool,26652,652,UNKNOWN,BUS
EBS_2105_1,EBS,2000,Spijkenisse,1,Hellevoetsluis - Rozenburg - Spijkenisse,2105,105,ACCESSIBLE,BUS
ARR_26652_2,ARR,5575,Heerlen Zuyd Hogeschool,2,Voerendaal - Heerlen Zuyd Hogeschool,26652,652,UNKNOWN,BUS
QBUZZ_m706_1,QBUZZ,3510,Boven-Hardinxveld via Giessendam,1,Gorinchem - Schelluinen - Giessenburg > 707,m706,706,ACCESSIBLE,BUS
QBUZZ_m706_2,QBUZZ,3518,Gorinchem,2,Gorinchem - Schelluinen - Giessenburg > 707,m706,706,ACCESSIBLE,BUS
CXX_Z639_2,CXX,Z63902659,Krabbendijke Calvijn College,2,Krabbendijke - Goes,Z639,639,NOTACCESSIBLE,BUS
ARR_8083_2,ARR,8015,Zutphen,2,Zutphen via Warnsveld - Zutphen,8083,83,UNKNOWN,BUS
CXX_Z639_1,CXX,Z63902597,Goes Calvijn College,1,Krabbendijke - Goes,Z639,639,NOTACCESSIBLE,BUS
QBUZZ_d033_2,QBUZZ,251,Coevorden,2,Hoogeveen - Coevorden,d033,33,ACCESSIBLE,BUS
CXX_H923_1,CXX,H92300570,Overal Flex Reserveer via app of 088-6000981,1,Overal Flex Alkmaar,H923,FLX,NOTACCESSIBLE,BUS
QBUZZ_d033_1,QBUZZ,385,Hoogeveen,1,Hoogeveen - Coevorden,d033,33,ACCESSIBLE,BUS
CXX_L021_2,CXX,L02116163,Son en Breugel,2,Son en Breugel - Ekkersrijt,L021,21,ACCESSIBLE,BUS
ARR_28496_2,ARR,2861,Bitgummole,2,"Bitgummole - Marsum, Buorren",28496,9751,NOTACCESSIBLE,BUS
CXX_L021_1,CXX,L02146725,Son Meubelboulevard,1,Son en Breugel - Ekkersrijt,L021,21,ACCESSIBLE,BUS
ARR_28287_2,ARR,2504,Akmarijp,2,"Akmarijp - Joure, Busstation",28287,8731,NOTACCESSIBLE,BUS
ARR_28034_2,ARR,2696,Reitsum,2,"Reitsum - Ferwert, Prov. weg",28034,7114,NOTACCESSIBLE,BUS
ARR_28154_2,ARR,2642,Miedum,2,"Miedum - Leeuwarden, Station",28154,7711,NOTACCESSIBLE,BUS
EBS_1312_1,EBS,1823,Edam,1,Amsterdam Noord - Volendam - Edam,1312,312,ACCESSIBLE,BUS
ARR_28154_1,ARR,1721,Leeuwarden Busstation,1,"Miedum - Leeuwarden, Station",28154,7711,NOTACCESSIBLE,BUS
EBS_1312_2,EBS,1813,Amsterdam Noord,2,Amsterdam Noord - Volendam - Edam,1312,312,ACCESSIBLE,BUS
ARR_28363_2,ARR,2663,Oudega (Friese Meren),2,"Oudega - Balk, Harich Rotonde",28363,9532,NOTACCESSIBLE,BUS
ARR_28363_1,ARR,1799,Balk Harich Rotonde,1,"Oudega - Balk, Harich Rotonde",28363,9532,NOTACCESSIBLE,BUS
CXX_A033_1,CXX,A03301096,Nijmegen CS,1,Arnhem CS - Bemmel -  Nijmegen CS,A033,33,ACCESSIBLE,BUS
ARR_17077_1,ARR,1982,Station,1,Station via Ridderveld West en Oost - Station,17077,2,UNKNOWN,BUS
CXX_A033_2,CXX,A03301013,Arnhem CS,2,Arnhem CS - Bemmel -  Nijmegen CS,A033,33,ACCESSIBLE,BUS
GVB_287_1,GVB,BAA,Station Bijlmer ArenA,1,Centraal Station - Station Bijlmer ArenA,287,N87,ACCESSIBLE,BUS
CXX_Z715_1,CXX,Z71503222,'s-Gravendeel Weegje,1,Strijensas s'Gravendeel,Z715,715,NOTACCESSIBLE,BUS
GVB_287_2,GVB,NCS,Centraal Station,2,Centraal Station - Station Bijlmer ArenA,287,N87,ACCESSIBLE,BUS
ARR_28287_1,ARR,1787,Joure Busstation,1,"Akmarijp - Joure, Busstation",28287,8731,NOTACCESSIBLE,BUS
QBUZZ_u565_2,QBUZZ,2940,Nieuwegein Vreeswijk,2,Wijkbus Vreeswijk,u565,565,ACCESSIBLE,BUS
